Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,97,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30927.835051546394,48.5,60.10407640085654,91.0,6.0,97.0,48.5,60.10407640085654,91.0,6.0,0,0,0,0,0,0,0,0,0,64,0,30927.835051546394,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,24,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,125000.0,12.0,9.899494936611665,19.0,5.0,24.0,12.0,9.899494936611665,19.0,5.0,0,0,0,0,0,0,0,0,0,64,0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,22,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,136363.63636363635,11.0,9.899494936611665,18.0,4.0,22.0,11.0,9.899494936611665,18.0,4.0,0,0,0,0,0,0,0,0,0,64,0,136363.63636363635,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,19,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,157894.73684210525,9.5,7.7781745930520225,15.0,4.0,19.0,9.5,7.7781745930520225,15.0,4.0,0,0,0,0,0,0,0,0,0,64,0,157894.73684210525,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,73,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,41095.890410958906,36.5,28.991378028648448,57.0,16.0,73.0,36.5,28.991378028648448,57.0,16.0,0,0,0,0,0,0,0,0,0,64,0,41095.890410958906,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,21,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,142857.14285714287,10.5,7.7781745930520225,16.0,5.0,21.0,10.5,7.7781745930520225,16.0,5.0,0,0,0,0,0,0,0,0,0,64,0,142857.14285714287,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:51 PM,20,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,150000.0,10.0,8.48528137423857,16.0,4.0,20.0,10.0,8.48528137423857,16.0,4.0,0,0,0,0,0,0,0,0,0,64,0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,69,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,34.5,40.30508652763321,63.0,6.0,69.0,34.5,40.30508652763321,63.0,6.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,24,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,125000.0,12.0,9.899494936611665,19.0,5.0,24.0,12.0,9.899494936611665,19.0,5.0,0,0,0,0,0,0,0,0,0,64,0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,79,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37974.6835443038,39.5,48.79036790187178,74.0,5.0,79.0,39.5,48.79036790187178,74.0,5.0,0,0,0,0,0,0,0,0,0,64,0,37974.6835443038,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
